,num_barcodes,barcode_length_in_aa,num_oligos,is_capped
0,1,1,18.0,False
1,1,2,815.0,False
2,1,3,15519.0,False
3,1,4,381565.0,False
4,1,5,10000000.0,True
5,3,1,14.0,False
6,3,2,184.0,False
7,3,3,12010.0,False
8,3,4,340717.0,False
9,5,1,16.0,False
10,5,2,206.0,False
11,5,3,7758.0,False
12,5,4,320838.0,False
13,1,1,12.0,False
14,1,2,521.0,False
15,1,3,11021.0,False
16,1,4,474698.0,False
17,1,5,3678538.0,False
18,3,1,12.0,False
19,3,2,353.0,False
20,3,3,12585.0,False
21,3,4,459064.0,False
22,5,1,12.0,False
23,5,2,366.0,False
24,5,3,13463.0,False
25,5,4,461005.0,False
26,1,1,5.0,False
27,1,2,371.0,False
28,1,3,7013.0,False
29,1,4,532217.0,False
30,1,5,10000000.0,True
31,3,1,11.0,False
32,3,2,390.0,False
33,3,3,8050.0,False
34,3,4,392387.0,False
35,5,1,12.0,False
36,5,2,403.0,False
37,5,3,6216.0,False
38,5,4,338410.0,False
39,1,1,18.0,False
40,1,2,387.0,False
41,1,3,11358.0,False
42,1,4,234572.0,False
43,1,5,10000000.0,True
44,3,1,24.0,False
45,3,2,533.0,False
46,3,3,10350.0,False
47,3,4,373850.0,False
48,5,1,4.0,False
49,5,2,341.0,False
50,5,3,6076.0,False
51,5,4,369769.0,False
52,1,1,17.0,False
53,1,2,599.0,False
54,1,3,18351.0,False
55,1,4,329507.0,False
56,1,5,10000000.0,True
57,3,1,23.0,False
58,3,2,375.0,False
59,3,3,4333.0,False
60,3,4,331917.0,False
61,5,1,13.0,False
62,5,2,221.0,False
63,5,3,6971.0,False
64,5,4,393666.0,False
65,1,1,12.0,False
66,1,2,387.0,False
67,1,3,7585.0,False
68,1,4,326373.0,False
69,1,5,10000000.0,True
70,3,1,19.0,False
71,3,2,384.0,False
72,3,3,13325.0,False
73,3,4,353974.0,False
74,5,1,12.0,False
75,5,2,343.0,False
76,5,3,10680.0,False
77,5,4,507981.0,False
78,1,1,6.0,False
79,1,2,616.0,False
80,1,3,19143.0,False
81,1,4,491666.0,False
82,1,5,10000000.0,True
83,3,1,1.0,False
84,3,2,458.0,False
85,3,3,16725.0,False
86,3,4,283549.0,False
87,5,1,15.0,False
88,5,2,227.0,False
89,5,3,12865.0,False
90,5,4,393786.0,False
91,1,1,18.0,False
92,1,2,631.0,False
93,1,3,12725.0,False
94,1,4,127816.0,False
95,1,5,10000000.0,True
96,3,1,21.0,False
97,3,2,406.0,False
98,3,3,2485.0,False
99,3,4,370055.0,False
100,5,1,11.0,False
101,5,2,448.0,False
102,5,3,12023.0,False
103,5,4,485456.0,False
104,1,1,26.0,False
105,1,2,640.0,False
106,1,3,16340.0,False
107,1,4,317635.0,False
108,1,5,10000000.0,True
109,3,1,10.0,False
110,3,2,280.0,False
111,3,3,8794.0,False
112,3,4,306985.0,False
113,5,1,10.0,False
114,5,2,246.0,False
115,5,3,10364.0,False
116,5,4,433244.0,False
117,1,1,16.0,False
118,1,2,446.0,False
119,1,3,13038.0,False
120,1,4,585948.0,False
121,1,5,10000000.0,True
122,3,1,12.0,False
123,3,2,411.0,False
124,3,3,10941.0,False
125,3,4,362985.0,False
126,5,1,12.0,False
127,5,2,235.0,False
128,5,3,5712.0,False
129,5,4,107056.0,False
130,1,1,26.0,False
131,1,2,552.0,False
132,1,3,7639.0,False
133,1,4,694439.0,False
134,1,5,10000000.0,True
135,3,1,13.0,False
136,3,2,86.0,False
137,3,3,9990.0,False
138,3,4,251656.0,False
139,5,1,5.0,False
140,5,2,388.0,False
141,5,3,12053.0,False
142,5,4,342092.0,False
143,1,1,19.0,False
144,1,2,410.0,False
145,1,3,17851.0,False
146,1,4,514012.0,False
147,1,5,8487491.0,False
148,3,1,11.0,False
149,3,2,429.0,False
150,3,3,5245.0,False
151,3,4,241010.0,False
152,5,1,9.0,False
153,5,2,298.0,False
154,5,3,5640.0,False
155,5,4,322803.0,False
156,1,1,10.0,False
157,1,2,462.0,False
158,1,3,18080.0,False
159,1,4,470270.0,False
160,1,5,10000000.0,True
161,3,1,7.0,False
162,3,2,211.0,False
163,3,3,5298.0,False
164,3,4,76301.0,False
165,5,1,9.0,False
166,5,2,321.0,False
167,5,3,8381.0,False
168,5,4,247425.0,False
169,1,1,13.0,False
170,1,2,427.0,False
171,1,3,19681.0,False
172,1,4,319687.0,False
173,1,5,10000000.0,True
174,3,1,9.0,False
175,3,2,269.0,False
176,3,3,6422.0,False
177,3,4,216513.0,False
178,5,1,7.0,False
179,5,2,470.0,False
180,5,3,4400.0,False
181,5,4,577070.0,False
182,1,1,20.0,False
183,1,2,309.0,False
184,1,3,21243.0,False
185,1,4,503757.0,False
186,1,5,10000000.0,True
187,3,1,8.0,False
188,3,2,517.0,False
189,3,3,8616.0,False
190,3,4,581922.0,False
191,5,1,13.0,False
192,5,2,108.0,False
193,5,3,4639.0,False
194,5,4,440121.0,False
195,1,1,12.0,False
196,1,2,414.0,False
197,1,3,15339.0,False
198,1,4,357800.0,False
199,1,5,10000000.0,True
200,3,1,18.0,False
201,3,2,387.0,False
202,3,3,7125.0,False
203,3,4,468676.0,False
204,5,1,5.0,False
205,5,2,345.0,False
206,5,3,5875.0,False
207,5,4,282123.0,False
208,1,1,11.0,False
209,1,2,701.0,False
210,1,3,15108.0,False
211,1,4,551134.0,False
212,1,5,10000000.0,True
213,3,1,13.0,False
214,3,2,286.0,False
215,3,3,13522.0,False
216,3,4,328317.0,False
217,5,1,7.0,False
218,5,2,330.0,False
219,5,3,9623.0,False
220,5,4,470810.0,False
221,1,1,13.0,False
222,1,2,245.0,False
223,1,3,15915.0,False
224,1,4,561868.0,False
225,1,5,10000000.0,True
226,3,1,14.0,False
227,3,2,508.0,False
228,3,3,6043.0,False
229,3,4,404743.0,False
230,5,1,10.0,False
231,5,2,98.0,False
232,5,3,11387.0,False
233,5,4,339604.0,False
234,1,1,10.0,False
235,1,2,542.0,False
236,1,3,18973.0,False
237,1,4,337318.0,False
238,1,5,10000000.0,True
239,3,1,20.0,False
240,3,2,163.0,False
241,3,3,13133.0,False
242,3,4,322865.0,False
243,5,1,3.0,False
244,5,2,345.0,False
245,5,3,9930.0,False
246,5,4,115715.0,False
247,1,1,22.0,False
248,1,2,414.0,False
249,1,3,8857.0,False
250,1,4,497437.0,False
251,1,5,10000000.0,True
252,3,1,18.0,False
253,3,2,558.0,False
254,3,3,13599.0,False
255,3,4,349364.0,False
256,5,1,13.0,False
257,5,2,210.0,False
258,5,3,5768.0,False
259,5,4,259116.0,False
260,1,1,9.0,False
261,1,2,541.0,False
262,1,3,18526.0,False
263,1,4,424773.0,False
264,1,5,6560941.0,False
265,3,1,9.0,False
266,3,2,214.0,False
267,3,3,15103.0,False
268,3,4,234905.0,False
269,5,1,12.0,False
270,5,2,215.0,False
271,5,3,8149.0,False
272,5,4,384091.0,False
273,1,1,20.0,False
274,1,2,737.0,False
275,1,3,16042.0,False
276,1,4,527812.0,False
277,1,5,10000000.0,True
278,3,1,6.0,False
279,3,2,207.0,False
280,3,3,9396.0,False
281,3,4,504576.0,False
282,5,1,16.0,False
283,5,2,423.0,False
284,5,3,13065.0,False
285,5,4,273256.0,False
286,1,1,25.0,False
287,1,2,538.0,False
288,1,3,8705.0,False
289,1,4,465612.0,False
290,1,5,10000000.0,True
291,3,1,9.0,False
292,3,2,173.0,False
293,3,3,11427.0,False
294,3,4,435263.0,False
295,5,1,7.0,False
296,5,2,309.0,False
297,5,3,9330.0,False
298,5,4,255723.0,False
299,1,1,18.0,False
300,1,2,849.0,False
301,1,3,10431.0,False
302,1,4,498910.0,False
303,1,5,10000000.0,True
304,3,1,12.0,False
305,3,2,236.0,False
306,3,3,9072.0,False
307,3,4,249629.0,False
308,5,1,8.0,False
309,5,2,130.0,False
310,5,3,10387.0,False
311,5,4,302603.0,False
312,1,1,13.0,False
313,1,2,557.0,False
314,1,3,18018.0,False
315,1,4,631183.0,False
316,1,5,10000000.0,True
317,3,1,15.0,False
318,3,2,397.0,False
319,3,3,8206.0,False
320,3,4,313395.0,False
321,5,1,6.0,False
322,5,2,188.0,False
323,5,3,1724.0,False
324,5,4,344577.0,False
325,1,1,10.0,False
326,1,2,632.0,False
327,1,3,16171.0,False
328,1,4,530548.0,False
329,1,5,10000000.0,True
330,3,1,10.0,False
331,3,2,190.0,False
332,3,3,9249.0,False
333,3,4,307034.0,False
334,5,1,8.0,False
335,5,2,245.0,False
336,5,3,8408.0,False
337,5,4,278682.0,False
338,1,1,13.0,False
339,1,2,522.0,False
340,1,3,13485.0,False
